# Energy [eV], Time, ID Gap [mm], M2 Pitch [deg], G Pitch [deg], I0 [A] (KE6000), Is [A] (KE6000_2), Is/I0
450.000, 1781877008.536599, 29.004, -3.0, -3.937429, 2.729857e-09, 1.872969e-10, 0.06861051696114485
450.100, 1781877011.940452, 29.0068, -3.0, -3.937231, 2.718503e-09, 1.862278e-10, 0.06850380521926958
450.200, 1781877013.003838, 29.0096, -3.0, -3.937032, 2.698214e-09, 1.842076e-10, 0.06827019650776402
450.300, 1781877014.07039, 29.0124, -3.0, -3.936832, 2.673928e-09, 1.814596e-10, 0.06786256024844349
450.400, 1781877015.123724, 29.0152, -3.0, -3.936634, 2.651244e-09, 1.786524e-10, 0.06738436748937479
450.500, 1781877016.26412, 29.018, -3.0, -3.936435, 2.630719e-09, 1.775168e-10, 0.06747843460285953
450.600, 1781877017.361053, 29.0208, -3.0, -3.936237, 2.619825e-09, 1.748909e-10, 0.06675671084900708
450.700, 1781877018.446465, 29.0236, -3.0, -3.936039, 2.610937e-09, 1.7262e-10, 0.0661141957848849
450.800, 1781877019.511544, 29.0265, -3.0, -3.93584, 2.607736e-09, 1.720092e-10, 0.06596112489914624
450.900, 1781877020.620658, 29.0293, -3.0, -3.935642, 2.605727e-09, 1.714262e-10, 0.06578824259026367
451.000, 1781877021.808064, 29.0321, -3.0, -3.935444, 2.60533e-09, 1.720422e-10, 0.06603470577623564
451.100, 1781877022.880687, 29.0349, -3.0, -3.935245, 2.599762e-09, 1.703012e-10, 0.06550645789883842
451.200, 1781877023.985125, 29.0377, -3.0, -3.935049, 2.605089e-09, 1.689396e-10, 0.06484983814372561
451.300, 1781877025.038249, 29.0405, -3.0, -3.93485, 2.596063e-09, 1.689505e-10, 0.06507950693030178
451.400, 1781877026.16992, 29.0433, -3.0, -3.934652, 2.604466e-09, 1.691691e-10, 0.06495346838852954
451.500, 1781877027.333915, 29.0461, -3.0, -3.934456, 2.60313e-09, 1.689813e-10, 0.06491466042802319
451.600, 1781877028.391171, 29.0489, -3.0, -3.934257, 2.603636e-09, 1.688676e-10, 0.06485837498021997
451.700, 1781877029.532967, 29.0517, -3.0, -3.934059, 2.600615e-09, 1.678385e-10, 0.06453800351070804
451.800, 1781877030.567541, 29.0545, -3.0, -3.933862, 2.603099e-09, 1.684615e-10, 0.06471574842140079
451.900, 1781877031.693154, 29.0573, -3.0, -3.933664, 2.605616e-09, 1.681115e-10, 0.06451890838864975
452.000, 1781877032.889632, 29.0601, -3.0, -3.933467, 2.610185e-09, 1.682778e-10, 0.0644696831833759
452.100, 1781877033.935897, 29.0629, -3.0, -3.933271, 2.609636e-09, 1.681928e-10, 0.06445067434692041
452.200, 1781877035.017285, 29.0657, -3.0, -3.933073, 2.609706e-09, 1.678739e-10, 0.06432674791719833
452.300, 1781877036.087613, 29.0685, -3.0, -3.932876, 2.607832e-09, 1.677073e-10, 0.06430908892904144
452.400, 1781877037.181962, 29.0713, -3.0, -3.93268, 2.61226e-09, 1.680748e-10, 0.06434076240496735
452.500, 1781877038.23567, 29.0741, -3.0, -3.932483, 2.613842e-09, 1.686745e-10, 0.0645312532280069
452.600, 1781877039.311319, 29.0769, -3.0, -3.932286, 2.613684e-09, 1.678303e-10, 0.06421216183746772
452.700, 1781877040.357587, 29.0797, -3.0, -3.93209, 2.617182e-09, 1.681143e-10, 0.06423485260100367
452.800, 1781877041.479702, 29.0825, -3.0, -3.931892, 2.615115e-09, 1.681806e-10, 0.06431097676392816
452.900, 1781877042.529997, 29.0854, -3.0, -3.931697, 2.61975e-09, 1.683941e-10, 0.06427869071476285
453.000, 1781877043.611724, 29.0882, -3.0, -3.9315, 2.627472e-09, 1.689184e-10, 0.06428932449137421
453.100, 1781877044.707752, 29.091, -3.0, -3.931304, 2.623303e-09, 1.689548e-10, 0.06440536987149406
453.200, 1781877045.785145, 29.0938, -3.0, -3.931107, 2.631235e-09, 1.691208e-10, 0.06427430465161796
453.300, 1781877046.930778, 29.0966, -3.0, -3.930911, 2.628305e-09, 1.691549e-10, 0.0643589309459899
453.400, 1781877047.990305, 29.0994, -3.0, -3.930714, 2.631426e-09, 1.692605e-10, 0.06432272843697676
453.500, 1781877049.073787, 29.1021, -3.0, -3.930519, 2.634661e-09, 1.696622e-10, 0.0643962164392307
453.600, 1781877050.109015, 29.1049, -3.0, -3.930323, 2.639628e-09, 1.702002e-10, 0.06447885838459055
453.700, 1781877051.264093, 29.1077, -3.0, -3.930126, 2.637582e-09, 1.702687e-10, 0.06455484606734502
453.800, 1781877052.422682, 29.1105, -3.0, -3.929932, 2.637993e-09, 1.701357e-10, 0.06449437128908227
453.900, 1781877053.483672, 29.1133, -3.0, -3.929735, 2.638581e-09, 1.705691e-10, 0.06464425386220851
454.000, 1781877054.545408, 29.1161, -3.0, -3.92954, 2.639767e-09, 1.708109e-10, 0.06470680935097681
454.100, 1781877055.582669, 29.1189, -3.0, -3.929346, 2.640142e-09, 1.708781e-10, 0.06472307171356692
454.200, 1781877056.735212, 29.1217, -3.0, -3.929149, 2.640307e-09, 1.71408e-10, 0.06491972335035281
454.300, 1781877057.792195, 29.1245, -3.0, -3.928954, 2.643225e-09, 1.718352e-10, 0.06500967568027693
454.400, 1781877058.868218, 29.1273, -3.0, -3.92876, 2.645584e-09, 1.723513e-10, 0.06514678800597525
454.500, 1781877059.90882, 29.1301, -3.0, -3.928565, 2.647256e-09, 1.727927e-10, 0.06527238015514933
454.600, 1781877061.039669, 29.1329, -3.0, -3.928368, 2.64629e-09, 1.733059e-10, 0.06549013902482344
454.700, 1781877062.197073, 29.1357, -3.0, -3.928174, 2.648845e-09, 1.739014e-10, 0.06565178407947615
454.800, 1781877063.252803, 29.1385, -3.0, -3.927979, 2.649239e-09, 1.745153e-10, 0.0658737471402165
454.900, 1781877064.321858, 29.1413, -3.0, -3.927784, 2.653717e-09, 1.753494e-10, 0.06607690269911977
455.000, 1781877065.37453, 29.1441, -3.0, -3.927589, 2.65226e-09, 1.757511e-10, 0.06626465731112334
455.100, 1781877066.509765, 29.1469, -3.0, -3.927395, 2.655977e-09, 1.772153e-10, 0.0667232058108937
455.200, 1781877067.686376, 29.1497, -3.0, -3.9272, 2.659432e-09, 1.786288e-10, 0.06716802685686267
455.300, 1781877068.777349, 29.1525, -3.0, -3.927007, 2.662427e-09, 1.800577e-10, 0.06762915940981667
455.400, 1781877069.898876, 29.1553, -3.0, -3.926812, 2.661915e-09, 1.817163e-10, 0.06826525264706049
455.500, 1781877071.012463, 29.1581, -3.0, -3.926618, 2.663481e-09, 1.838096e-10, 0.06901104231642727
455.600, 1781877072.071377, 29.1608, -3.0, -3.926423, 2.66542e-09, 1.865777e-10, 0.06999936220182935
455.700, 1781877073.209014, 29.1636, -3.0, -3.92623, 2.663747e-09, 1.900647e-10, 0.07135238444191586
455.800, 1781877074.268581, 29.1664, -3.0, -3.926035, 2.666116e-09, 1.970175e-10, 0.07389682219378302
455.900, 1781877075.359853, 29.1692, -3.0, -3.925842, 2.66328e-09, 2.075719e-10, 0.07793844432429185
456.000, 1781877076.418493, 29.172, -3.0, -3.925647, 2.670012e-09, 2.281937e-10, 0.08546542112919342
456.100, 1781877077.575895, 29.1748, -3.0, -3.925455, 2.666208e-09, 2.625692e-10, 0.09848038862684383
456.200, 1781877078.609085, 29.1776, -3.0, -3.92526, 2.6722e-09, 2.963663e-10, 0.11090722999775465
456.300, 1781877079.72095, 29.1804, -3.0, -3.925067, 2.675772e-09, 2.904525e-10, 0.10854904677977047
456.400, 1781877080.80761, 29.1832, -3.0, -3.924874, 2.677893e-09, 2.657157e-10, 0.09922565987513318
456.500, 1781877081.862172, 29.186, -3.0, -3.924679, 2.678821e-09, 2.608164e-10, 0.0973623844221021
456.600, 1781877082.913629, 29.1887, -3.0, -3.924486, 2.676089e-09, 2.768947e-10, 0.10346991449088577
456.700, 1781877083.996609, 29.1915, -3.0, -3.924293, 2.674638e-09, 3.094355e-10, 0.11569247875787302
456.800, 1781877085.058703, 29.1943, -3.0, -3.9241, 2.679077e-09, 3.621232e-10, 0.13516714898451967
456.900, 1781877086.162473, 29.1971, -3.0, -3.923907, 2.687836e-09, 3.858825e-10, 0.1435662369281459
457.000, 1781877087.332054, 29.1999, -3.0, -3.923715, 2.686187e-09, 3.654135e-10, 0.13603427460560266
457.100, 1781877088.385786, 29.2027, -3.0, -3.923522, 2.689136e-09, 3.74837e-10, 0.1393893800834171
457.200, 1781877089.482301, 29.2055, -3.0, -3.923329, 2.687709e-09, 4.081264e-10, 0.15184917712445803
457.300, 1781877090.544499, 29.2082, -3.0, -3.923136, 2.691067e-09, 4.598015e-10, 0.1708621524473378
457.400, 1781877091.691002, 29.211, -3.0, -3.922943, 2.692834e-09, 5.826729e-10, 0.21637906384129135
457.500, 1781877092.737508, 29.2138, -3.0, -3.92275, 2.69958e-09, 8.444441e-10, 0.31280573274361195
457.600, 1781877093.820792, 29.2166, -3.0, -3.922559, 2.692814e-09, 1.308474e-09, 0.48591324911412376
457.700, 1781877094.892983, 29.2194, -3.0, -3.922366, 2.699776e-09, 1.821106e-09, 0.6745396655129907
